Order_No,Time from Pickup to Arrival
Order_No_16992,1598.6
Order_No_5873,1461.0
Order_No_14553,1242.1
Order_No_4007,2873.6
Order_No_13713,1440.6
Order_No_20690,813.2
Order_No_27131,1520.3
Order_No_17404,1541.5
Order_No_1121,1528.3
Order_No_10915,1792.7
Order_No_7190,1425.1
Order_No_26054,735.0
Order_No_19459,1697.3
Order_No_11439,1875.9
Order_No_24422,1492.5
Order_No_10627,2576.3
Order_No_9507,1726.9
Order_No_9063,2232.0
Order_No_15612,608.6
Order_No_20974,1686.5
Order_No_7106,1814.8
Order_No_21900,1343.3
Order_No_20501,2197.6
Order_No_10649,1698.5
Order_No_14031,700.8
Order_No_26207,1532.3
Order_No_24879,1313.8
Order_No_26211,2183.5
Order_No_15163,1761.9
Order_No_8174,1672.1
Order_No_10670,1536.4
Order_No_1480,1437.9
Order_No_7556,2133.4
Order_No_21894,2034.5
Order_No_16903,1683.1
Order_No_20181,1290.8
Order_No_7301,990.7
Order_No_4814,880.1
Order_No_25817,1592.4
Order_No_5155,817.9
Order_No_5658,1738.6
Order_No_7421,552.4
Order_No_18730,2383.7
Order_No_20915,988.1
Order_No_11317,627.4
Order_No_1571,1335.7
Order_No_13963,1296.5
Order_No_25600,2481.3
Order_No_653,2050.9
Order_No_21929,1833.0
Order_No_10722,1477.4
Order_No_23724,1632.9
Order_No_16625,1323.8
Order_No_10125,1139.1
Order_No_20308,1279.7
Order_No_4518,1111.4
Order_No_3406,729.0
Order_No_605,1736.9
Order_No_27507,1334.1
Order_No_9352,2072.3
Order_No_12374,1647.9
Order_No_21981,734.4
Order_No_23293,640.8
Order_No_10595,1886.7
Order_No_14569,533.2
Order_No_22459,1422.8
Order_No_18244,842.6
Order_No_22006,784.4
Order_No_16555,875.0
Order_No_15352,1301.0
Order_No_6045,481.5
Order_No_5785,1053.7
Order_No_25261,1228.3
Order_No_16004,1668.1
Order_No_4666,1272.5
Order_No_6848,1303.2
Order_No_16999,1919.7
Order_No_4454,1455.0
Order_No_19867,1229.0
Order_No_8525,759.2
Order_No_14830,866.9
Order_No_5166,1249.8
Order_No_8600,1636.6
Order_No_1424,733.8
Order_No_28124,1821.1
Order_No_202,1791.8
Order_No_21239,793.9
Order_No_28220,2607.8
Order_No_20883,1197.5
Order_No_25796,719.6
Order_No_17399,1120.8
Order_No_6474,2064.6
Order_No_25744,1482.1
Order_No_28183,1235.1
Order_No_14439,1418.2
Order_No_9133,1447.3
Order_No_113,830.8
Order_No_7040,861.6
Order_No_18205,1571.1
Order_No_26927,820.0
Order_No_13238,1264.6
Order_No_22130,2112.5
Order_No_21276,1023.9
Order_No_1805,841.4
Order_No_22296,1238.0
Order_No_3341,1122.6
Order_No_25656,1125.0
Order_No_14258,999.1
Order_No_16747,2715.0
Order_No_17893,2488.4
Order_No_8127,1648.4
Order_No_22518,1840.4
Order_No_23458,2992.1
Order_No_6376,1407.8
Order_No_13274,1856.3
Order_No_15872,1186.8
Order_No_26843,1312.2
Order_No_11606,1184.4
Order_No_17119,1537.7
Order_No_2920,2463.7
Order_No_26188,1449.9
Order_No_6170,2119.2
Order_No_3297,1389.9
Order_No_14832,1558.4
Order_No_3262,1691.3
Order_No_26825,2294.8
Order_No_16348,942.1
Order_No_19181,595.5
Order_No_9628,1577.2
Order_No_12321,614.5
Order_No_5373,1435.6
Order_No_11408,1683.2
Order_No_17595,1954.2
Order_No_6673,778.9
Order_No_24820,1788.0
Order_No_27980,924.9
Order_No_22,2163.5
Order_No_12144,1745.7
Order_No_27423,1800.2
Order_No_27750,827.3
Order_No_9598,2685.1
Order_No_24154,1427.7
Order_No_8101,1524.4
Order_No_19215,1035.5
Order_No_13735,1094.7
Order_No_21382,1730.4
Order_No_14598,1348.2
Order_No_18882,1942.5
Order_No_22210,1203.3
Order_No_17315,1247.7
Order_No_15936,768.2
Order_No_20424,1187.7
Order_No_8544,1030.2
Order_No_1945,990.3
Order_No_15723,1473.3
Order_No_14246,890.3
Order_No_17804,1037.7
Order_No_6307,1627.0
Order_No_21140,1535.0
Order_No_27783,1444.9
Order_No_16698,1372.6
Order_No_4055,2240.9
Order_No_24360,2362.5
Order_No_23304,1706.3
Order_No_18831,573.3
Order_No_8221,1362.5
Order_No_17708,928.1
Order_No_8804,1255.8
Order_No_1287,1414.7
Order_No_8582,1236.9
Order_No_22982,1441.1
Order_No_5673,1437.5
Order_No_265,1424.1
Order_No_10919,896.4
Order_No_25941,1017.2
Order_No_10818,2115.7
Order_No_7955,1047.5
Order_No_21808,884.2
Order_No_15316,1304.7
Order_No_4569,1145.1
Order_No_26467,2029.1
Order_No_18042,1279.5
Order_No_1690,953.6
Order_No_23240,1503.4
Order_No_6518,1943.0
Order_No_15554,1296.6
Order_No_10496,1127.8
Order_No_14374,1725.7
Order_No_26952,1738.2
Order_No_4877,1227.2
Order_No_13214,1246.8
Order_No_23220,1243.4
Order_No_8668,1530.0
Order_No_17800,1432.9
Order_No_19852,1589.1
Order_No_27728,1311.6
Order_No_4520,1483.6
Order_No_22070,1621.1
Order_No_8558,2041.6
Order_No_14907,1221.5
Order_No_18319,1516.4
Order_No_16097,2042.5
Order_No_2417,1425.4
Order_No_11575,1198.9
Order_No_15,1521.5
Order_No_4679,838.3
Order_No_26060,1070.8
Order_No_15503,539.6
Order_No_7661,1642.5
Order_No_1830,1755.8
Order_No_21557,1352.9
Order_No_13473,870.3
Order_No_13008,3186.6
Order_No_18509,1430.3
Order_No_3829,690.1
Order_No_6065,1393.9
Order_No_14799,2576.1
Order_No_1776,727.9
Order_No_12463,1370.5
Order_No_6604,2617.7
Order_No_1799,1934.5
Order_No_10157,2129.3
Order_No_9766,573.2
Order_No_5814,1276.7
Order_No_14030,1952.3
Order_No_13176,820.0
Order_No_4656,1222.4
Order_No_5529,1847.4
Order_No_7690,511.2
Order_No_19956,1878.7
Order_No_22252,1265.5
Order_No_10533,1015.0
Order_No_8881,2891.8
Order_No_10182,1196.5
Order_No_13944,1360.1
Order_No_6048,1520.3
Order_No_12388,915.2
Order_No_25071,1439.6
Order_No_13153,1298.5
Order_No_25366,1571.5
Order_No_7696,1742.2
Order_No_2007,2802.7
Order_No_19309,1421.0
Order_No_19227,1112.5
Order_No_21284,1606.0
Order_No_23202,900.0
Order_No_8939,2019.5
Order_No_19778,940.7
Order_No_23557,1034.2
Order_No_4701,1106.2
Order_No_7447,746.9
Order_No_27215,1184.1
Order_No_26093,2354.6
Order_No_20488,1927.0
Order_No_9560,806.4
Order_No_26678,2612.9
Order_No_20208,2405.5
Order_No_21879,1669.8
Order_No_9237,2009.5
Order_No_13651,636.7
Order_No_5812,2029.1
Order_No_10902,1701.8
Order_No_6327,1567.7
Order_No_1435,1417.9
Order_No_21248,2696.9
Order_No_24214,1425.9
Order_No_22384,1658.6
Order_No_17635,2887.8
Order_No_8977,717.7
Order_No_8944,1318.6
Order_No_21206,1670.5
Order_No_24952,1957.6
Order_No_24037,1329.7
Order_No_5344,1123.7
Order_No_5735,585.7
Order_No_9938,936.0
Order_No_9572,2496.9
Order_No_17057,1711.7
Order_No_2630,2318.0
Order_No_328,1486.4
Order_No_26349,1489.9
Order_No_119,1643.0
Order_No_25779,1328.3
Order_No_16033,1489.8
Order_No_16640,2042.5
Order_No_2440,1166.2
Order_No_1930,546.2
Order_No_26105,628.0
Order_No_20741,1820.3
Order_No_20896,1362.4
Order_No_11100,612.2
Order_No_28180,2364.1
Order_No_16083,1258.1
Order_No_8184,1107.4
Order_No_14011,1304.2
Order_No_22660,1453.2
Order_No_2501,1815.7
Order_No_23934,1937.6
Order_No_13179,1031.1
Order_No_25191,838.3
Order_No_16381,1277.8
Order_No_15052,1113.7
Order_No_10144,1800.5
Order_No_4309,785.3
Order_No_3631,1218.3
Order_No_3102,640.8
Order_No_14330,1351.4
Order_No_8375,1033.0
Order_No_3804,1469.5
Order_No_13817,885.8
Order_No_73,689.1
Order_No_13329,537.1
Order_No_27514,2435.2
Order_No_15161,2680.8
Order_No_10310,1924.5
Order_No_10814,834.7
Order_No_21397,1535.6
Order_No_1033,612.4
Order_No_14857,1387.3
Order_No_5784,2344.5
Order_No_7041,1683.3
Order_No_976,835.6
Order_No_1323,2051.5
Order_No_24269,1027.0
Order_No_8145,473.2
Order_No_18898,938.4
Order_No_2353,1820.8
Order_No_20438,1446.0
Order_No_21318,460.5
Order_No_432,3158.6
Order_No_28265,1770.2
Order_No_17853,1115.0
Order_No_3888,1893.9
Order_No_19004,933.6
Order_No_3751,1767.7
Order_No_24072,1745.9
Order_No_6192,2320.2
Order_No_23991,1564.1
Order_No_9669,1403.6
Order_No_9159,1376.0
Order_No_3469,918.5
Order_No_8175,1018.8
Order_No_19400,2295.5
Order_No_19301,983.7
Order_No_7079,2188.7
Order_No_6179,1289.8
Order_No_7898,1513.5
Order_No_8398,1396.2
Order_No_26262,1311.0
Order_No_11181,1916.5
Order_No_11359,1656.1
Order_No_27119,1318.3
Order_No_22979,689.2
Order_No_20357,713.2
Order_No_11599,2371.3
Order_No_27419,2109.6
Order_No_28027,1601.6
Order_No_9240,1193.2
Order_No_10621,2368.9
Order_No_9573,549.4
Order_No_16641,2013.2
Order_No_17532,2322.5
Order_No_27475,1515.5
Order_No_17860,658.9
Order_No_21510,1286.4
Order_No_20057,869.1
Order_No_5742,2858.6
Order_No_12926,850.0
Order_No_1100,1065.6
Order_No_16665,1436.2
Order_No_3239,509.4
Order_No_6527,2361.3
Order_No_27436,2694.1
Order_No_25724,1631.0
Order_No_18565,1489.2
Order_No_13991,1324.6
Order_No_10370,753.3
Order_No_20802,2148.4
Order_No_7216,1296.5
Order_No_20243,1102.2
Order_No_963,2335.9
Order_No_7077,966.6
Order_No_15921,1731.8
Order_No_14182,2588.6
Order_No_2513,1636.7
Order_No_11162,2025.4
Order_No_10498,870.9
Order_No_27109,1837.3
Order_No_27510,2339.0
Order_No_28242,2370.9
Order_No_5402,1444.0
Order_No_16501,785.1
Order_No_25394,1669.7
Order_No_12173,1263.7
Order_No_3494,1289.3
Order_No_7796,1245.3
Order_No_14650,1110.4
Order_No_14378,547.4
Order_No_9010,1013.7
Order_No_6513,1106.5
Order_No_5698,599.7
Order_No_17470,1210.2
Order_No_17935,1676.9
Order_No_14047,1253.9
Order_No_6487,935.8
Order_No_13205,699.1
Order_No_12730,985.5
Order_No_23447,1140.0
Order_No_21544,1895.8
Order_No_19834,739.4
Order_No_13595,1634.6
Order_No_10952,1371.3
Order_No_16061,1432.9
Order_No_11082,1147.3
Order_No_9973,1698.3
Order_No_24129,1316.2
Order_No_17456,704.9
Order_No_13130,1291.4
Order_No_17508,1197.4
Order_No_24719,1020.3
Order_No_1122,1156.9
Order_No_13598,1553.9
Order_No_15418,2327.0
Order_No_12370,1788.5
Order_No_9588,1223.4
Order_No_15534,1239.4
Order_No_11299,2358.7
Order_No_17032,1040.1
Order_No_2086,1737.7
Order_No_662,798.3
Order_No_18016,2566.9
Order_No_20168,2283.5
Order_No_24567,630.6
Order_No_6364,1726.2
Order_No_9163,2059.8
Order_No_21269,1706.4
Order_No_23463,1073.1
Order_No_12415,1532.8
Order_No_19530,664.0
Order_No_15036,784.8
Order_No_8329,1692.1
Order_No_17871,665.5
Order_No_15812,1911.6
Order_No_1417,663.3
Order_No_557,1453.7
Order_No_2749,1145.9
Order_No_11273,1258.9
Order_No_12502,1719.5
Order_No_16703,1452.3
Order_No_11533,1003.1
Order_No_17269,1146.9
Order_No_1906,1775.4
Order_No_24525,1382.1
Order_No_20167,1208.3
Order_No_10048,562.8
Order_No_19620,719.6
Order_No_28249,1708.2
Order_No_2180,1441.1
Order_No_11898,1419.9
Order_No_4533,1751.1
Order_No_3644,1148.4
Order_No_554,2111.5
Order_No_10375,1072.7
Order_No_20558,1128.4
Order_No_2982,1698.5
Order_No_22670,1947.0
Order_No_24772,467.4
Order_No_20708,825.5
Order_No_10470,1888.1
Order_No_13917,1532.4
Order_No_25392,1030.3
Order_No_10153,1256.7
Order_No_16467,1207.0
Order_No_5539,1065.6
Order_No_9069,2632.2
Order_No_4233,982.1
Order_No_9977,1211.9
Order_No_8910,1603.3
Order_No_22925,2059.7
Order_No_3422,1495.5
Order_No_16377,1995.8
Order_No_4750,1130.1
Order_No_3565,2845.5
Order_No_10981,1156.4
Order_No_8065,1429.0
Order_No_27736,1502.8
Order_No_18818,1904.5
Order_No_24447,1403.7
Order_No_7565,575.0
Order_No_11098,1276.9
Order_No_16378,1064.3
Order_No_22111,2054.9
Order_No_24813,2695.9
Order_No_18073,1648.1
Order_No_7393,2234.3
Order_No_3604,2498.0
Order_No_7722,1053.4
Order_No_6473,1170.2
Order_No_16328,1141.4
Order_No_6951,1182.5
Order_No_27115,1973.0
Order_No_4833,1677.6
Order_No_26220,1023.0
Order_No_19347,1036.4
Order_No_23754,1363.4
Order_No_26312,1169.0
Order_No_6258,221.1
Order_No_8187,1825.6
Order_No_24254,368.7
Order_No_23923,286.3
Order_No_18348,398.7
Order_No_6143,67.8
Order_No_11761,1355.6
Order_No_25890,745.0
Order_No_12525,32.5
Order_No_17819,280.5
Order_No_7530,35.1
Order_No_3087,1678.6
Order_No_16681,736.1
Order_No_22705,1075.5
Order_No_12330,1536.4
Order_No_9936,317.8
Order_No_14792,488.6
Order_No_27480,1912.8
Order_No_12371,1399.6
Order_No_23841,599.9
Order_No_5723,679.4
Order_No_7107,2512.4
Order_No_8354,1214.9
Order_No_16616,823.4
Order_No_13299,1243.6
Order_No_9846,1129.5
Order_No_23302,2075.6
Order_No_21129,1718.6
Order_No_6218,2928.5
Order_No_19174,2118.0
Order_No_17504,1576.1
Order_No_13417,2748.3
Order_No_20985,1483.4
Order_No_8974,1982.2
Order_No_16102,2624.7
Order_No_18610,2534.5
Order_No_15240,1749.7
Order_No_8222,2049.5
Order_No_9716,2808.0
Order_No_2322,2007.5
Order_No_20909,2911.2
Order_No_21364,1981.4
Order_No_5142,1036.9
Order_No_24450,2332.9
Order_No_6650,2514.0
Order_No_5838,1861.5
Order_No_5507,1324.9
Order_No_14746,1805.5
Order_No_19695,1932.6
Order_No_16731,1898.7
Order_No_26896,1537.5
Order_No_19027,2558.2
Order_No_7476,1711.6
Order_No_7552,1402.1
Order_No_1197,2975.9
Order_No_24734,1728.5
Order_No_21567,1476.2
Order_No_20868,2325.9
Order_No_23886,1780.2
Order_No_20995,2154.9
Order_No_2832,644.6
Order_No_18513,1094.2
Order_No_20644,2123.0
Order_No_15252,1805.7
Order_No_22288,1683.6
Order_No_28091,1045.0
Order_No_15758,1142.4
Order_No_6985,1809.9
Order_No_19182,2001.3
Order_No_16029,1671.5
Order_No_7628,1562.0
Order_No_12870,2347.0
Order_No_5874,2976.7
Order_No_3122,2635.7
Order_No_14202,1661.1
Order_No_18634,2495.1
Order_No_17859,1388.2
Order_No_12989,2060.0
Order_No_11519,1912.8
Order_No_27804,1166.1
Order_No_14750,2114.7
Order_No_27640,1073.1
Order_No_9577,1236.9
Order_No_25067,1573.3
Order_No_5630,1841.8
Order_No_1662,2613.3
Order_No_20854,1194.4
Order_No_10597,2214.6
Order_No_14406,2322.9
Order_No_3515,1542.3
Order_No_479,1852.2
Order_No_13506,1666.3
Order_No_8094,1720.5
Order_No_11527,789.6
Order_No_1560,1606.3
Order_No_27797,911.1
Order_No_28257,1591.9
Order_No_28126,1871.7
Order_No_8053,1458.8
Order_No_2916,628.5
Order_No_4016,1494.0
Order_No_1978,1033.5
Order_No_7551,768.4
Order_No_18878,1714.9
Order_No_17852,1544.9
Order_No_12724,2689.7
Order_No_5052,2845.6
Order_No_9638,1453.4
Order_No_18608,2808.4
Order_No_10943,2754.4
Order_No_19284,928.0
Order_No_19089,1177.5
Order_No_18792,1301.0
Order_No_27785,2071.0
Order_No_6310,856.9
Order_No_3396,1131.4
Order_No_13210,807.8
Order_No_27338,1602.2
Order_No_9449,2116.8
Order_No_9953,2510.6
Order_No_21319,1555.9
Order_No_6131,1811.5
Order_No_16248,2438.8
Order_No_25511,2078.7
Order_No_17581,1504.2
Order_No_15622,1663.8
Order_No_17371,2069.3
Order_No_3498,1885.0
Order_No_21353,1885.1
Order_No_15321,2249.2
Order_No_2430,1399.2
Order_No_12487,1690.1
Order_No_10610,1055.4
Order_No_13632,815.6
Order_No_14310,2047.1
Order_No_20219,1558.9
Order_No_24255,1423.8
Order_No_5688,2112.8
Order_No_2098,916.5
Order_No_1638,2164.0
Order_No_5930,1544.0
Order_No_23690,1513.5
Order_No_39,1773.5
Order_No_4504,1365.7
Order_No_21781,704.1
Order_No_18092,1553.7
Order_No_22970,1443.0
Order_No_10140,907.0
Order_No_25566,1368.8
Order_No_10010,2127.8
Order_No_13320,1561.8
Order_No_25781,728.5
Order_No_11047,532.2
Order_No_19150,522.6
Order_No_13956,1517.8
Order_No_2795,2289.9
Order_No_9239,763.5
Order_No_25948,1489.2
Order_No_24195,676.5
Order_No_21625,1400.2
Order_No_27048,1660.3
Order_No_17009,1768.5
Order_No_25336,1818.0
Order_No_5171,2153.1
Order_No_15698,1973.3
Order_No_22233,1511.6
Order_No_26486,2266.4
Order_No_2207,2245.6
Order_No_25857,2170.7
Order_No_11783,1684.6
Order_No_24512,1591.2
Order_No_8030,1921.8
Order_No_12442,675.9
Order_No_16773,1205.7
Order_No_7245,1298.1
Order_No_22380,2015.9
Order_No_24611,1547.4
Order_No_11281,1765.8
Order_No_20685,2102.8
Order_No_25650,2797.3
Order_No_7279,1487.3
Order_No_21590,1746.0
Order_No_15175,2597.6
Order_No_2549,1910.0
Order_No_21355,993.8
Order_No_13240,2090.9
Order_No_12289,2421.8
Order_No_13640,1587.5
Order_No_7348,1772.2
Order_No_10368,1990.9
Order_No_6499,1552.5
Order_No_16129,1637.3
Order_No_4700,1791.5
Order_No_11499,1200.5
Order_No_14316,1743.6
Order_No_19729,1756.1
Order_No_2709,1993.7
Order_No_2587,1508.4
Order_No_14584,1382.4
Order_No_5775,1561.8
Order_No_5957,1567.7
Order_No_13108,2256.2
Order_No_8952,2399.0
Order_No_25039,881.7
Order_No_28178,1722.5
Order_No_9911,1684.9
Order_No_14887,1191.5
Order_No_25164,1508.7
Order_No_643,1104.2
Order_No_25036,1266.4
Order_No_23513,1627.7
Order_No_9998,1327.5
Order_No_20542,1220.2
Order_No_17096,1553.4
Order_No_6667,2292.1
Order_No_3386,2252.2
Order_No_7801,1442.1
Order_No_13317,1615.1
Order_No_27525,2174.2
Order_No_28039,2430.8
Order_No_27356,1223.7
Order_No_19531,2026.3
Order_No_17221,1628.0
Order_No_14666,744.6
Order_No_2529,1441.3
Order_No_8108,1037.6
Order_No_22718,1993.6
Order_No_23815,2043.4
Order_No_355,625.2
Order_No_5502,787.7
Order_No_2279,952.5
Order_No_14760,1354.0
Order_No_16284,1730.4
Order_No_24054,528.5
Order_No_6308,1126.9
Order_No_18471,3050.1
Order_No_16885,2010.1
Order_No_6235,1312.7
Order_No_21139,1424.9
Order_No_8441,2190.4
Order_No_20358,2155.4
Order_No_22958,1153.1
Order_No_9958,2178.1
Order_No_186,1040.6
Order_No_18335,1247.6
Order_No_8294,2259.3
Order_No_14984,1707.7
Order_No_12808,1525.0
Order_No_16613,615.6
Order_No_5967,1348.3
Order_No_13061,572.9
Order_No_510,1629.8
Order_No_11737,1415.0
Order_No_9065,1853.6
Order_No_14733,1397.4
Order_No_23792,1313.0
Order_No_19970,1424.5
Order_No_5732,833.8
Order_No_16861,1698.2
Order_No_548,1251.0
Order_No_3614,1403.5
Order_No_14685,1653.3
Order_No_14852,1250.1
Order_No_5906,1753.3
Order_No_8086,2124.4
Order_No_20426,1522.2
Order_No_15713,2018.6
Order_No_5421,1908.1
Order_No_21090,1688.2
Order_No_10249,2699.4
Order_No_23243,1617.5
Order_No_3973,1718.0
Order_No_18105,1773.3
Order_No_18247,1881.7
Order_No_5518,1657.9
Order_No_14326,1397.9
Order_No_11696,2463.1
Order_No_25233,1591.7
Order_No_21758,1482.2
Order_No_13807,2579.9
Order_No_9504,818.9
Order_No_19952,1259.4
Order_No_5945,1449.1
Order_No_21884,1767.4
Order_No_23875,1861.9
Order_No_17475,2247.4
Order_No_11831,1147.7
Order_No_14853,1495.2
Order_No_8626,1371.9
Order_No_11618,1321.0
Order_No_6579,2198.8
Order_No_4411,1337.1
Order_No_13952,1267.3
Order_No_20612,2000.8
Order_No_14554,1558.1
Order_No_23765,2470.9
Order_No_15377,1450.3
Order_No_484,1218.7
Order_No_20145,985.0
Order_No_15587,812.8
Order_No_1391,1567.8
Order_No_21529,1673.1
Order_No_12180,1104.2
Order_No_26836,1340.3
Order_No_20602,1835.6
Order_No_28137,1412.5
Order_No_7831,962.2
Order_No_10415,1627.8
Order_No_18209,1279.6
Order_No_1785,1752.7
Order_No_26356,1684.8
Order_No_22626,3288.1
Order_No_20408,1798.4
Order_No_1291,1612.1
Order_No_3872,2247.1
Order_No_7811,1527.1
Order_No_1688,1607.2
Order_No_10749,1435.4
Order_No_8606,469.4
Order_No_21045,1407.1
Order_No_24642,780.9
Order_No_19658,597.1
Order_No_11143,1395.8
Order_No_20174,936.8
Order_No_11271,1712.6
Order_No_21619,2172.1
Order_No_12882,1805.5
Order_No_13707,3157.1
Order_No_27870,1098.9
Order_No_27175,955.6
Order_No_23193,2873.6
Order_No_26792,1046.6
Order_No_8477,1950.0
Order_No_5644,1964.6
Order_No_17568,1079.9
Order_No_24791,1734.9
Order_No_8516,1571.2
Order_No_14352,3107.5
Order_No_21115,645.6
Order_No_14295,1251.5
Order_No_4241,674.5
Order_No_6537,629.7
Order_No_5745,2319.5
Order_No_7814,2675.9
Order_No_17036,1232.8
Order_No_7550,1733.5
Order_No_8541,2420.5
Order_No_17107,1018.3
Order_No_15533,963.0
Order_No_24471,1514.7
Order_No_22059,2082.9
Order_No_13682,915.0
Order_No_16304,1650.1
Order_No_15971,709.0
Order_No_13816,2506.9
Order_No_1299,670.3
Order_No_16591,551.4
Order_No_14301,1227.0
Order_No_11796,1877.2
Order_No_1496,732.6
Order_No_15046,1350.7
Order_No_14012,2019.9
Order_No_24632,1187.3
Order_No_15371,1065.5
Order_No_26341,2269.0
Order_No_22604,1496.5
Order_No_6864,1351.5
Order_No_4975,1612.6
Order_No_24591,1194.7
Order_No_25549,1519.1
Order_No_18512,1350.4
Order_No_26563,1570.0
Order_No_25165,2366.9
Order_No_15832,2510.4
Order_No_24376,1861.5
Order_No_20678,1736.5
Order_No_10522,824.5
Order_No_22205,1112.5
Order_No_10745,1884.0
Order_No_19717,2472.7
Order_No_23942,1374.6
Order_No_5473,1164.2
Order_No_26248,1628.9
Order_No_5324,1602.1
Order_No_26892,733.8
Order_No_6840,1528.8
Order_No_26156,2212.6
Order_No_9183,1634.1
Order_No_20185,1037.1
Order_No_8896,896.4
Order_No_5444,2740.2
Order_No_9975,1680.6
Order_No_19711,1220.3
Order_No_5148,1364.9
Order_No_22964,2781.8
Order_No_26674,593.8
Order_No_20033,1712.2
Order_No_17258,1655.5
Order_No_23885,1411.5
Order_No_9908,958.5
Order_No_10017,1768.2
Order_No_3652,1487.5
Order_No_6052,2794.4
Order_No_19139,1284.9
Order_No_4240,2032.5
Order_No_14479,1723.3
Order_No_26236,1518.1
Order_No_18468,1514.2
Order_No_10170,1767.4
Order_No_27719,1640.6
Order_No_21645,1506.3
Order_No_21459,1242.4
Order_No_22807,1714.9
Order_No_10608,1588.9
Order_No_26682,1441.4
Order_No_9246,1780.8
Order_No_26933,1758.4
Order_No_20284,1409.8
Order_No_16582,2755.0
Order_No_18020,2439.3
Order_No_11578,1272.9
Order_No_2623,2208.5
Order_No_19145,2249.4
Order_No_19497,1768.5
Order_No_17066,2214.3
Order_No_7934,1549.0
Order_No_27076,3014.4
Order_No_18743,2321.6
Order_No_27790,2353.3
Order_No_25259,2238.7
Order_No_3411,564.5
Order_No_14195,1265.7
Order_No_4723,570.5
